Acid Splash~PHB~0~C~hurl bubble acid choose one creature see within range choose two creature see within range within 5 foot target must succeed dexterity save throw take damage acid damage~{'dice': ['1d6'], 'damage': ['1d6', '2d6', '3d6', '4d6'], 'saving_throw_types': 'Dexterity', 'conditions': 'None'}
Aid~PHB~2~A~spell bolster ally toughness resolve choose three creature within range target hit point maximum current hit point increase 5 duration~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Banishment~PHB~4~A~attempt send one creature see within range another plane existence target must succeed charisma save throw banish target native plane existence youre banish target harmless demiplane target condition incapacitate target remain spell end point target reappears space leave near unoccupied space space occupy target native different plane existence one youre target banish faint popping noise return home plane spell end 1 minute pass target reappears space leave near unoccupied space space occupy otherwise target doesnt return~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'Charisma', 'conditions': 'incapacitated'}
Barkskin~PHB~2~T~touch willing creature spell end target skin rough barklike appearance target ac cant less 16 regardless kind armor wearing~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Beacon of Hope~PHB~3~A~spell bestows hope vitality choose number creature within range duration target advantage wisdom save throw death save throw regain maximum number hit point possible healing~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'death', 'conditions': 'None'}
Beast Sense~PHB~2~D~touch willing beast duration spell use action see beast eye hear hears continue use action return normal sens perceive beast sense gain benefit special sens possessed creature though condition blind condition blind surroundings~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'blinded'}
Bestow Curse~PHB~3~N~touch creature creature must succeed wisdom save throw become cursed duration spell cast spell choose nature curse follow option choose one ability score curse target disadvantage ability check save throw make ability score curse target disadvantage attack roll curse target must make wisdom save throw start turn fails waste action turn nothing target curse attack spell deal extra damage necrotic damage target spell remove curse spell end effect dm option may choose alternative curse effect powerful describe dm final say curse effect~{'dice': 'None', 'damage': ['1d8'], 'saving_throw_types': 'Wisdom', 'conditions': 'None'}
Bigby's Hand~PHB~5~V~create large hand shimmer translucent force unoccupied space see within range hand last spell duration move command mimic movement hand hand object ac 20 hit point equal hit point maximum drop 0 hit point spell end strength 26 d20 8 dexterity 10 d20 0 hand doesnt fill space cast spell bonus action subsequent turn move hand 60 foot cause one follow effect hand strike one creature object within 5 foot make melee spell attack hand use game statistic hit target take damage force damage hand attempt push creature within 5 foot direction choose make check hand strength contest strength skill athletics check target target medium small advantage check succeed hand push target 5 foot plus number foot equal five time spellcasting ability modifier hand move target remain within 5 foot hand attempt grapple huge small creature within 5 foot use hand strength score resolve grapple target medium small advantage check hand grapple target use bonus action hand crush target take bludgeoning damage equal damage spellcasting ability modifier hand interposes creature choose give hand different command hand move stay target provide half cover target target cant move hand space strength score less equal hand strength score strength score high hand strength score target move toward hand space space quickref difficult terrain3 target~{'dice': 'None', 'damage': ['4d8', '2d6'], 'saving_throw_types': 'None', 'conditions': 'None'}
Blade Barrier~PHB~6~V~create vertical wall whirl razorsharp blade make magical energy wall appear within range last duration make straight wall 100 foot long 20 foot high 5 foot thick ring wall 60 foot diameter 20 foot high 5 foot thick wall provide threequarters cover creature behind space quickref difficult terrain3 creature enters wall area first time turn start turn creature must make dexterity save throw fail save creature take damage slash damage successful save creature take half much damage~{'dice': 'None', 'damage': ['6d10'], 'saving_throw_types': 'Dexterity', 'conditions': 'None'}
Blade Ward~PHB~0~A~extend hand trace sigil ward air end next turn resistance bludgeon pierce slash damage deal weapon attack~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Bless~PHB~1~E~bless three creature choice within range whenever target make attack roll saving throw spell end target roll dice d4 add number roll attack roll saving throw~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'or', 'conditions': 'None'}
Blight~PHB~4~N~necromantic energy wash creature choice see within range drain moisture vitality target must make constitution save throw target take damage necrotic damage fail save half much damage successful one spell effect undead construct target plant creature magical plant make save throw disadvantage spell deal maximum damage target nonmagical plant isnt creature tree shrub doesnt make save throw simply withers dy~{'dice': 'None', 'damage': ['8d8'], 'saving_throw_types': 'a', 'conditions': 'None'}
Blinding Smite~PHB~3~V~next time hit creature melee weapon attack spell duration weapon flare bright light attack deal extra damage radiant damage target additionally target must succeed constitution save throw condition blind spell end creature condition blind spell make another constitution save throw end turn successful save long condition blind~{'dice': 'None', 'damage': ['3d8'], 'saving_throw_types': 'Constitution', 'conditions': 'blinded'}
Blindness/Deafness~PHB~2~N~blind deafen foe choose one creature see within range make constitution save throw fail target either condition blind condition blind choice duration end turn target make constitution save throw success spell end~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'Constitution', 'conditions': 'blinded'}
Blink~PHB~3~T~roll dice d20 end turn duration spell roll 11 high vanish current plane existence appear ethereal plane spell fail cast waste already plane start next turn spell end ethereal plane return unoccupied space choice see within 10 foot space vanish unoccupied space available within range appear near unoccupied space choose random one space equally near dismiss spell action ethereal plane see hear plane originate cast shade gray cant see anything 60 foot away affect affected creature ethereal plane creature arent cant perceive interact unless ability~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Blur~PHB~2~I~body become blurred shift waver see duration creature disadvantage attack roll attacker immune effect doesnt rely sight blindsight see illusion sense truesight~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Branding Smite~PHB~2~V~next time hit creature weapon attack spell end weapon gleam astral radiance strike attack deal extra damage radiant damage target become visible condition invisible target shed dim light 5foot radius cant become condition invisible spell end~{'dice': 'None', 'damage': ['2d6'], 'saving_throw_types': 'None', 'conditions': 'invisible'}
Burning Hands~PHB~1~V~hold hand thumbs touch finger spread thin sheet flame shoot forth outstretched fingertip creature 15foot cone must make dexterity save throw creature take damage fire damage fail save half much damage successful one fire ignite flammable object area arent worn carry~{'dice': 'None', 'damage': ['3d6'], 'saving_throw_types': 'Dexterity', 'conditions': 'None'}
Call Lightning~PHB~3~C~storm cloud appear shape cylinder 10 foot tall 60foot radius center point see within range directly spell fails cant see point air storm cloud could appear example room cant accommodate cloud cast spell choose point see cloud bolt lightning flash cloud point creature within 5 foot point must make dexterity save throw creature take damage lightning damage fail save half much damage successful one turn spell end use action call lightning way target point different one outdoors stormy condition cast spell spell give control exist storm instead create new one condition spell damage increase dice~{'dice': ['1d10'], 'damage': ['3d10'], 'saving_throw_types': 'Dexterity', 'conditions': 'None'}
Calm Emotions~PHB~2~E~attempt suppress strong emotion group people humanoid 20footradius sphere center point choose within range must make charisma save throw creature choose fail saving throw wish creature fail save throw choose one follow two effect suppress effect cause target condition charm condition charm spell end suppressed effect resume provide duration expire meantime alternatively make target indifferent creature choice hostile toward indifference end target attack harmed spell witness friends harm spell end creature becomes hostile unless dm rule otherwise~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'its', 'conditions': 'charmed'}
Chain Lightning~PHB~6~V~create bolt lightning arcs toward target choice see within range three bolt leap target many three target must within 30 foot first target target creature object target one bolt target must make dexterity save throw target take damage lightning damage fail save half much damage successful one~{'dice': 'None', 'damage': ['10d8'], 'saving_throw_types': 'Dexterity', 'conditions': 'None'}
Charm Person~PHB~1~E~attempt charm humanoid see within range must make wisdom save throw advantage companion fight fails save throw condition charm spell end companion anything harmful condition charm creature regard friendly acquaintance spell end creature know condition charm~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'the', 'conditions': 'charmed'}
Chill Touch~PHB~0~N~create ghostly skeletal hand space creature within range make range spell attack creature assail chill grave hit target take damage necrotic damage cant regain hit point start next turn hand cling target hit undead target also disadvantage attack roll end next turn~{'dice': ['1d8'], 'damage': ['1d8', '2d8', '3d8', '4d8'], 'saving_throw_types': 'None', 'conditions': 'None'}
Chromatic Orb~PHB~1~V~hurl 4inchdiameter sphere energy creature see within range choose acid cold fire lightning poison thunder type orb create make ranged spell attack target attack hit creature take damage damage type chose~{'dice': 'None', 'damage': ['3d8'], 'saving_throw_types': 'None', 'conditions': 'None'}
Circle of Death~PHB~6~N~sphere negative energy ripple 60footradius sphere point within range creature area must make constitution save throw target take damage necrotic damage fail save half much damage successful one~{'dice': 'None', 'damage': ['8d6'], 'saving_throw_types': 'Constitution', 'conditions': 'None'}
Circle of Power~PHB~5~A~divine energy radiates distort diffuse magical energy within 30 foot spell end sphere move center duration friendly creature area include advantage saving throw spell magical effect additionally affected creature succeed save throw make spell magical effect allows make save throw take half damage instead take damage succeed save throw~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'the', 'conditions': 'None'}
Clairvoyance~PHB~3~D~create invisible sensor within range location familiar place visit see obvious location unfamiliar behind door around corner grove tree sensor remain place duration cant attack otherwise interact cast spell choose see hear use choose sense sensor space action switch see hearing creature see sensor creature benefit spell see invisibility sense truesight see luminous intangible orb size fist~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Clone~PHB~8~N~spell grow inert duplicate living creature safeguard death clone form inside vessel use spell cast grows full size maturity 120 day also choose clone young version creature remain inert endures indefinitely long vessel remain undisturbed time clone mature original creature die soul transfer clone provide soul free willing return clone physically identical original personality memory abilities none original equipment original creature physical remains still exist become inert cant thereafter restore life since creature soul elsewhere~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Cloud of Daggers~PHB~2~C~fill air spin dagger cube 5 foot side center point choose within range creature take damage slash damage enters spell area first time turn start turn~{'dice': 'None', 'damage': ['4d4'], 'saving_throw_types': 'None', 'conditions': 'None'}
Cloudkill~PHB~5~C~create 20footradius sphere poisonous yellowgreen fog center point choose within range fog spread around corner last duration strong wind disperses fog end spell area quickref vision lightphb2heavily obscure creature enters spell area first time turn start turn creature must make constitution save throw creature take damage poison damage fail save half much damage successful one creatures affect even hold breath dont need breathe fog move 10 foot away start turn roll along surface ground vapor heavier air sink low level land even pour opening~{'dice': 'None', 'damage': ['5d8'], 'saving_throw_types': 'Constitution', 'conditions': 'None'}
Color Spray~PHB~1~I~dazzle array flashing color light spring hand roll dice total many hit point creatures spell effect creature 15foot cone originate affect ascend order current hit point ignore condition unconscious creature creature cant see starting creature low current hit point creature affect spell condition unconscious end next turn subtract creature hit point total moving creature next lowest hit point creature hit point must equal less remain total creature affect~{'dice': ['6d10'], 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'unconscious'}
Command~PHB~1~E~speak oneword command creature see within range target must succeed wisdom save throw follow command next turn spell effect target undead doesnt understand language command directly harmful typical command effect follow might issue command one describe dm determines target behaves target cant follow command spell end target move toward short direct route end turn move within 5 foot target drop whatever hold end turn target spend turn move away fast available mean target fall condition prone end turn target doesnt move take action fly creature stay aloft provide able must move stay aloft fly minimum distance need remain air~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'Wisdom', 'conditions': 'prone'}
Commune~PHB~5~D~contact deity divine proxy ask three question answer yes must ask question spell end receive correct answer question divine being arent necessarily omniscient might receive unclear answer question pertain information lie beyond deity knowledge case oneword answer could mislead contrary deity interest dm might offer short phrase answer instead cast spell two time finish next long rest cumulative chance 25no answeranswer chance cast first get answer dm make roll secret~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Commune with Nature~PHB~5~D~briefly become one nature gain knowledge surround territory outdoors spell give knowledge land within 3 mile cave natural underground setting radius limit 300 foot spell doesnt function nature replace construction dungeon towns instantly gain knowledge three fact choice follow subject relate area terrain body water prevalent plant mineral animal people powerful celestials fey fiend elementals undead influence plane existence building example could determine location powerful undead area location major source safe drinking water location nearby town~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Compelled Duel~PHB~1~E~attempt compel creature duel one creature see within range must make wisdom save throw fail save creature drawn compel divine demand duration disadvantage attack roll creatures must make wisdom save throw time attempt move space 30 foot away succeed save throw spell doesnt restrict target movement turn spell end attack creature cast spell target hostile creature target creature friendly damage target cast harmful spell end turn 30 foot away target~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'this', 'conditions': 'None'}
Comprehend Languages~PHB~1~D~duration understand literal meaning spoken language hear also understand write language see must touch surface word write take 1 minute read one page text spell doesnt decode secret message text glyph arcane sigil isnt part write language~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Compulsion~PHB~4~E~creature choice see within range hear must make wisdom save throw target automatically succeed save throw cant condition charm failed save target affect spell spell end use bonus action turn designate direction horizontal affect target must use much movement possible move direction next turn take action move move way make another wisdom save throw try end effect target isnt compel move obviously deadly hazard fire pit provoke opportunity attack move designate direction~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'Wisdom', 'conditions': 'charmed'}
Cone of Cold~PHB~5~V~blast cold air erupts hand creature 60foot cone must make constitution save throw creature take damage cold damage fail save half much damage successful one creature kill spell become frozen statue thaw~{'dice': 'None', 'damage': ['8d8'], 'saving_throw_types': 'Constitution', 'conditions': 'None'}
Confusion~PHB~4~E~spell assault twist creature mind spawn delusion provoke uncontrolled action creature 10footradius sphere center point choose within range must succeed wisdom save throw cast spell affect affected target cant take reaction must roll dice d10 start turn determine behavior turn dice d10 behavior col1 textcenter col11 creature use movement move random direction determine direction roll dice d8 assign direction die face creature doesnt take action turn creature doesnt move take action turn creature use action make melee attack randomly determine creature within reach creature within reach creature nothing turn creature act move normally end turn affect target make wisdom save throw succeed effect end target~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'Wisdom', 'conditions': 'None'}
Conjure Animals~PHB~3~C~summon fey spirit take form beast appear unoccupied space see within range choose one follow option appear one filter beast challenge rating 2 lowerbestiarychallenge rating02typebeastmiscellaneousswarm two filter beast challenge rating 1 lowerbestiarychallenge rating01typebeastmiscellaneousswarm four filter beast challenge rating 12 lowerbestiarychallenge rating012typebeastmiscellaneousswarm eight filter beast challenge rating 14 lowerbestiarychallenge rating014typebeastmiscellaneousswarm beast also consider fey disappears drop 0 hit point spell end summon creature friendly companion roll initiative summon creature group turn obey verbal command issue action require dont issue command defend hostile creature otherwise take action dm creature statistic~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Conjure Barrage~PHB~3~C~throw nonmagical weapon fire piece nonmagical ammunition air create cone identical weapon shoot forward disappear creature 60foot cone must succeed dexterity save throw creature take damage damage fail save half much damage successful one damage type weapon ammunition use component~{'dice': 'None', 'damage': ['3d8'], 'saving_throw_types': 'Dexterity', 'conditions': 'None'}
Conjure Celestial~PHB~7~C~summon filter celestial challenge rating 4 lowerbestiarychallenge rating04typecelestialmiscellaneousswarm appear unoccupied space see within range celestial disappears drop 0 hit point spell end celestial friendly companion duration roll initiative celestial turn obeys verbal command issue action require long dont violate alignment dont issue command celestial defends hostile creature otherwise take action dm creature couatlthe celestials statistic~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Conjure Elemental~PHB~5~C~call forth elemental servant choose area air earth fire water fill 10foot cube within range filter elemental challenge rating 5 lowerbestiarychallenge rating05typeelementalmiscellaneousswarm appropriate area choose appear unoccupied space within 10 foot example creature fire elemental emerge bonfire creature fire elemental rise ground elemental disappears drop 0 hit point spell end elemental friendly companion duration roll initiative elemental turn obeys verbal command issue action require dont issue command elemental defends hostile creature otherwise take action status concentration broken elemental doesnt disappear instead lose control elemental becomes hostile toward companion might attack uncontrolled elemental cant dismiss disappears 1 hour summon dm elementals statistic~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
